Account Name,No. of Employees,Website,HQ Billing Country,Billing State/Province,Billing City,Billing Street,Billing Zip/Postal Code,Industry,LinkedIn Company Id,Account LinkedIn URL,Core Account Fit Tier
Skillfly,4,www.skillfly.co,,Arkansas,Searcy,2513 South Main Street,72143,,,,
Alliance Group Services,1,agusa.com,,Vermont,Essex Junction,6 David Dr,5452,Building Equipment Contractors,,https://www.linkedin.com/company/agusa,Tier 1
Cottage,10,thecottage.com,,Louisiana,Shreveport,,,Retail,3104532,https://www.linkedin.com/company/kitchen-&-bath-cottage,Tier 1
Modal Labs,14,www.modal.com,,New York,New York,,,Software Development,,https://www.linkedin.com/company/modal-labs%20,Tier 1
Saturn,30,joinsaturn.com,,New York,Manhattan,,,Software Development,,https://www.linkedin.com/company/saturntechnologies,Tier 1
Kala Pharmaceuticals,38,kalarx.com,,Massachusetts,Boston,1167 Massachusetts Ave,2476,Pharmaceutical Manufacturing,801404,https://www.linkedin.com/company/kala-pharmaceuticals,Tier 1
Bondex,38,bondex.app,,Florida,Florham Park,30a Vreeland Rd Ste 120,7932,Technology Information and Internet,76904937,https://www.linkedin.com/company/bondexapp,Tier 1
B3 Group,54,b3groupinc.com,,Virginia,Herndon,13241 Woodland Park Road #500,20171,IT Services and IT Consulting,2341501,https://www.linkedin.com/company/b3-group-inc,Tier 1
ThinkCERCA,55,thinkcerca.com,,Illinois,Chicago,515 North State Street,60654,E-Learning Providers,2738213,https://www.linkedin.com/company/thinkcerca,Tier 1
Highway.ai,56,highway.ai,,New Jersey,-,,7733,Technology Information and Internet,92637064,https://www.linkedin.com/company/highwayai,Tier 1
Decrypt,57,decrypt.co,,New York,Brooklyn,49 Bogart St,11206,Internet News,11818546,https://www.linkedin.com/company/decrypt-media,Tier 1
Forj,59,forj.ai,,Wisconsin,Milwaukee,"Virtual Event Place, Inc. 20875 Crossroads Cir #100",53186,Software Development,73949046,https://www.linkedin.com/company/forj-ai,Tier 1
Pursell Agri-tech,60,fertilizer.com,,Alabama,Sylacauga,,,Agricultural Chemical Manufacturing,35523730,https://www.linkedin.com/company/pursellagritech,Tier 1
HR Director,63,www.practifi.com,,Illinois,,,60607,Technology Information and Internet,,https://www.linkedin.com/company/practifi/,Tier 1
Accushield®,64,accushield.com,,Georgia,Atlanta,2030 Powers Ferry Road,30339,Hospitals and Health Care,,https://www.linkedin.com/company/accushield,Tier 1
Zoomessence,65,zoomessence.com,,Kentucky,Hebron,Victory Place,41048,Chemical Raw Materials Manufacturing,1535177,https://www.linkedin.com/company/zoomessence-inc-,Tier 1
Rapid Acceleration Partners,67,rapidautomation.ai,,Texas,Irving,2251 Longview Road,75063,Software Development,13389854,https://www.linkedin.com/company/rapid-acceleration-partners,Tier 1
Kriptos,67,kriptos.io,,Florida,Hollywood,424 Johnson Street,94965,Data Security Software Products,11533395,https://www.linkedin.com/company/kriptos,Tier 1
Origin AI,68,originwirelessai.com,,Maryland,Greenbelt,7500 Greenway Center Drive,20770,Embedded Software Products,35489207,https://www.linkedin.com/company/originwirelessai,Tier 1
RaySecur,68,www.raysecur.com,,Massachusetts,Westwood,49 Bay State Rd,2138,Security and Investigations,10520435,https://www.linkedin.com/company/raysecur,Tier 1
Cha Cha Matcha,71,chachamatcha.com,,New York,,,,Food and Beverage Services,,https://www.linkedin.com/company/cha-cha-matcha,Tier 1
Duke Cannon Supply,72,dukecannon.com,,Minnesota,Minneapolis,123 North 3rd Street,55401,Manufacturing,18450345,https://www.linkedin.com/company/dukecannon,Tier 1
Fishbowl,73,fishbowlapp.com,,New York,New York,2627 E Beltline Ave SE Ste 330,10000,Technology Information and Internet,9493136,https://www.linkedin.com/company/fishbowlapp,Tier 1
Verivo Software,76,verivo.com,,Massachusetts,Waltham,1000 Winter St,2451,Software Development,2164,https://www.linkedin.com/company/verivo,Tier 1
True North Advisors,78,truenorthadvisors.com,,Texas,Dallas,3131 Turtle Creek Boulevard,75219,Investment Management,127558,https://www.linkedin.com/company/true-north-advisors,Tier 1
Credit Union of New Jersey,78,cunj.com,,New Jersey,Ewing,1301 Parkway Ave,,Financial Services,,https://www.linkedin.com/company/credit-union-of-new-jersey,Tier 1
MultiAd,79,syndigo.com,,Illinois,Peoria,30 N LaSalle Suite 3500,60602,Advertising Services,165070,https://www.linkedin.com/company/multiad,Tier 1
BlueLabs,80,bluelabs.com,,District of Columbia,Washington,700 14th Street Northwest,20005,IT Services and IT Consulting,3307133,https://www.linkedin.com/company/bluelabsanalytics,Tier 1
Territorium,81,territorium.com,,Texas,San Antonio,,78205,Software Development,2651137,https://www.linkedin.com/company/territoriumlife,Tier 1
Digital Economist,84,thedigitaleconomist.com,,District of Columbia,Washington,906 D Street Northeast,20002,IT Services and IT Consulting,,https://www.linkedin.com/company/thedigitaleconomist,Tier 1
Litmus - Customer,85,litmus.com,,Massachusetts,Cambridge,675 Massachusetts Avenue,2139,Software Development,2474773,https://www.linkedin.com/company/litmus-com,Tier 1
Euclid Power,86,euclidpower.com,,New York,New York,9840 Colorado Rd,55438,Solar Electric Power Generation,72611723,https://www.linkedin.com/company/euclid-power/,Tier 1
Elephant Skin,90,elephant-skin.com,,Florida,Miami,360 Northwest 27th Street,33127,Real Estate Agents and Brokers,27126331,https://www.linkedin.com/company/elephant-skin,Tier 1
United Real Estate Richmond,90,joinunitedrichmond.com,,Virginia,Richmond,,,Real Estate Agents and Brokers,3122632,https://www.linkedin.com/company/dominion-first-realty-inc,Tier 1
Bio-optronics,90,bio-optronics.com,,New York,Rochester,,,Software Development,112214,https://www.linkedin.com/company/bio-optronics,Tier 1
Boloco,90,boloco.com,,Massachusetts,Boston,1080 Boylston Street,2115,Food and Beverage Services,155615,https://www.linkedin.com/company/boloco,Tier 1
ClickSquared,90,clicksquared.com,,Massachusetts,Boston,,,Advertising Services,,https://www.linkedin.com/company/clicksquared-inc.,Tier 1
Engage fi,91,engagefi.com,,Florida,Orlando,"450 Carillon Parkway, Saint Petersburg, Florida, United States, 33716",33716,Strategic Management Services,3618372,https://www.linkedin.com/company/cu-engage/,Tier 1
Io.net,92,io.net,,New York,New York,447 Broadway,10013,Technology Information and Internet,14643908,https://www.linkedin.com/company/ionet-official,Tier 1
Busy Bee Cleaning Service,95,bbcleaningservice.com,,New York,New York,1133 Broadway,10010,Janitorial Services,5104922,https://www.linkedin.com/company/busy-bee-cleaning-service,Tier 1
Halozyme,96,elektrofi.com,,Massachusetts,Boston,,2210,Biotechnology,,https://www.linkedin.com/company/elektrofi,Tier 1
Autobooks,100,autobooks.co,,Michigan,Detroit,1555 Broadway Street,48226,Financial Services,10344444,https://www.linkedin.com/company/autobooks-co,Tier 1
???? ??? Jeel Platform,101,jeelapp.com,,New York,-,,,Entertainment Providers,12987814,https://www.linkedin.com/company/thejeelapp,Tier 1
Touchstorm,103,touchstorm.com,,Virginia,Midlothian,450 Lexington Avenue,10017,Advertising Services,1085010,http://www.linkedin.com/company/touchstorm,Tier 1
SimplyHome,103,simplyrent.com,,Texas,Houston,13141 Northwest Fwy,77040,Real Estate,,https://www.linkedin.com/company/simplyhome,Tier 1
Fraunhofer USA,104,fraunhofer.org,,Michigan,East Lansing,44792 Helm St,48824,Research Services,,https://www.linkedin.com/company/fraunhofer-usa,Tier 1
S+S Industries,113,ssind.com,,Texas,,,,Electric Power Generation,,https://www.linkedin.com/company/s-sindustries,Tier 1
Show Masters Production Logistics,119,showmasters.com,,Texas,Fort Worth,,,Events Services,52520256,https://www.linkedin.com/company/show-masters-production-logistics-inc.,Tier 1
Jack Gaughen Realtor Era Camp Hill Pa,123,coldwellbankerhomes.com,,Pennsylvania,Camp Hill,,,Real Estate Agents and Brokers,852397,https://www.linkedin.com/company/jack-gaughen-realtor-era-camp-hill-pa,Tier 1
Seekr Technologies,126,seekr.com,,Virginia,Vienna,109 Ludlow Street,10002,Technology Information and Internet,74321156,https://www.linkedin.com/company/seekrtechnologies,Tier 1
Midocean Partners,130,midoceanpartners.com,,New York,New York,245 Park Avenue,10029,Trusts and Estates,60113,https://www.linkedin.com/company/midocean-partners,Tier 1
