rank,Account Name,No. of Employees,Website,HQ Billing Country,Billing State/Province,Billing City,Billing Street,Billing Zip/Postal Code,Industry,LinkedIn Company Id,Account LinkedIn URL,Core Account Fit Tier,score_size,score_industry,score_tier,score_data,lead_score,category,web_verdict,web_notes,us_contactability,hr_contacts
1,Icon,199,iconplc.com,,Massachusetts,Marlborough,Castletroy V94 8n76,d18 x5r3,Pharmaceutical Manufacturing,2246404.0,https://www.linkedin.com/company/aptiv-solutions,Tier 1,40,30,20.0,10,100.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Acquired by ICON plc (40k-EE CRO) in 2014; stale record,,
2,Arena AI,166,arena-ai.com,,New York,New York,33 Irving Place,10003,Software Development,35670183.0,https://www.linkedin.com/company/arena-ai/,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),STRONG,$30M Series B Apr 2025; ~29 open roles; hiring recruiter; no People leadership,HIGH (NYC leadership),VACANT - Head of Talent left Sept 2025; use Chief of Staff Aaron Zelinger
3,Touchstorm,103,touchstorm.com,,Virginia,Midlothian,450 Lexington Avenue,10017,Advertising Services,1085010.0,http://www.linkedin.com/company/touchstorm,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),GOOD,"~100 staff across 26 countries (global/EOR angle); but shrinking, CRO departed","MEDIUM (US HR in Richmond VA, but most staff overseas)",
4,Autobooks,100,autobooks.co,,Michigan,Detroit,1555 Broadway Street,48226,Financial Services,10344444.0,https://www.linkedin.com/company/autobooks-co,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),STRONG,$40M + 2 acquisitions in 12 months; multi-entity payroll consolidation pain NOW,HIGH (Detroit leadership),"YES - Brian DeLeon, Dir HR & TA (Detroit)"
5,MultiAd,79,syndigo.com,,Illinois,Peoria,30 N LaSalle Suite 3500,60602,Advertising Services,165070.0,https://www.linkedin.com/company/multiad,Tier 1,40,30,20.0,10,100.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Absorbed into Syndigo (via SGS); multiad.com redirects,,
6,Litmus - Customer,85,litmus.com,,Massachusetts,Cambridge,675 Massachusetts Avenue,2139,Software Development,2474773.0,https://www.linkedin.com/company/litmus-com,Tier 1,40,30,20.0,10,100.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Acquired by Validity Apr 2025,,
7,Bio-optronics,90,bio-optronics.com,,New York,Rochester,,,Software Development,112214.0,https://www.linkedin.com/company/bio-optronics,Tier 1,40,30,20.0,10,100.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Acquired by Advarra Mar 2021,,
8,Io.net,92,io.net,,New York,New York,447 Broadway,10013,Technology Information and Internet,14643908.0,https://www.linkedin.com/company/ionet-official,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),STRONG,$40M raised; fully remote multi-jurisdiction ~90 EE; new CEO; no HR function visible,"HIGH (US-based, remote)",THIN - only regional HR in Dubai; go via CEO/COO
9,Fishbowl,73,fishbowlapp.com,,New York,New York,2627 E Beltline Ave SE Ste 330,10000,Technology Information and Internet,9493136.0,https://www.linkedin.com/company/fishbowlapp,Tier 1,40,30,20.0,10,100.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Acquired by Glassdoor Sept 2021,,
10,Forj,59,forj.ai,,Wisconsin,Milwaukee,"Virtual Event Place, Inc. 20875 Crossroads Cir #100",53186,Software Development,73949046.0,https://www.linkedin.com/company/forj-ai,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),GOOD,"Merged from 3 companies, 4-continent staff, new CFO/CRO; consolidation pitch",HIGH (Milwaukee leadership),
11,FundGuard,177,fundguard.com,,New York,New York,430 Park Avenue,10022,Financial Services,33262287.0,https://www.linkedin.com/company/fundguard,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),GOOD,$100M Series C Mar 2024; offices NY/Boston/London/Toronto/Tel Aviv; decision-maker may sit in TLV,MEDIUM (people decision-maker likely in Tel Aviv),SPLIT - VP HR Li Carmel in Tel Aviv; US contact Melissa Monahan (Boston)
12,Kriptos,67,kriptos.io,,Florida,Hollywood,424 Johnson Street,94965,Data Security Software Products,11533395.0,https://www.linkedin.com/company/kriptos,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),WEAK,"Real HQ Quito Ecuador, ~34 actual EE; no funding since 2022","LOW (leadership in Quito, Ecuador)",
13,ThinkCERCA,55,thinkcerca.com,,Illinois,Chicago,515 North State Street,60654,E-Learning Providers,2738213.0,https://www.linkedin.com/company/thinkcerca,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),GOOD,"Remote-friendly, multi-state + contract scorers; no funding since 2017 (budget risk)",HIGH (Chicago leadership),
14,Highway.ai,56,highway.ai,,New Jersey,-,,7733,Technology Information and Internet,92637064.0,https://www.linkedin.com/company/highwayai,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),GOOD,Actually MBS Highway/Highway; ~54 EE on 3 continents; 2 merged entities to consolidate,HIGH (NJ leadership),
15,Territorium,81,territorium.com,,Texas,San Antonio,,78205,Software Development,2651137.0,https://www.linkedin.com/company/territoriumlife,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),GOOD,US+Mexico+Colombia footprint = global/EOR pitch; US headcount may be small,MEDIUM (much of org in Mexico/Colombia),
16,Verivo Software,76,verivo.com,,Massachusetts,Waltham,1000 Winter St,2451,Software Development,2164.0,https://www.linkedin.com/company/verivo,Tier 1,40,30,20.0,10,100.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Defunct; assets to Appery/Exadel in 2015,,
17,BlueLabs,80,bluelabs.com,,District of Columbia,Washington,700 14th Street Northwest,20005,IT Services and IT Consulting,3307133.0,https://www.linkedin.com/company/bluelabsanalytics,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),STRONG,"~87 EE growing, ~15 open roles, Director of People Ops exists, incumbent HRIS to displace",HIGH (DC leadership),YES - Director of People Operations (name TBD)
18,Origin AI,68,originwirelessai.com,,Maryland,Greenbelt,7500 Greenway Center Drive,20770,Embedded Software Products,35489207.0,https://www.linkedin.com/company/originwirelessai,Tier 1,40,30,20.0,10,100.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Acquired by ADT for $170M Feb 2026 (SEC 8-K),,
19,Decrypt,57,decrypt.co,,New York,Brooklyn,49 Bogart St,11206,Internet News,11818546.0,https://www.linkedin.com/company/decrypt-media,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),GOOD,Merged into DASTAN parent; ~57 fully remote EE; sell at parent level; light hiring,HIGH (US-based parent),
20,Seekr Technologies,126,seekr.com,,Virginia,Vienna,109 Ludlow Street,10002,Technology Information and Internet,74321156.0,https://www.linkedin.com/company/seekrtechnologies,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),STRONG,$100M Series C at $1.2B; NEW Chief People Officer; aggressive hiring — call first,"HIGH (VA leadership, US CPO)","YES - Darcey Villasenor, CPO (Vienna VA)"
21,Rapid Acceleration Partners,67,rapidautomation.ai,,Texas,Irving,2251 Longview Road,75063,Software Development,13389854.0,https://www.linkedin.com/company/rapid-acceleration-partners,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),WEAK,Workforce concentrated in Chennai India; tiny US payroll footprint,"LOW (workforce/hiring in Chennai, India)",
22,True North Advisors,78,truenorthadvisors.com,,Texas,Dallas,3131 Turtle Creek Boulevard,75219,Investment Management,127558.0,https://www.linkedin.com/company/true-north-advisors,Tier 1,40,30,20.0,10,100.0,A - Hot (contact first),STRONG,PE-backed serial acquirer (2 deals in 10 mo); TX+CA multi-entity payroll pain; greenfield HR,HIGH (Dallas leadership),"YES - Bernadeta Thomas SPHR, Dir HR (Dallas, on company site)"
